epoch,S,Fw,E,MAE
30,0.7108,0.5474,0.8848,0.1367
35,0.5744,0.3843,0.8716,0.2506
40,0.6533,0.4677,0.8898,0.1812
45,0.7603,0.6124,0.8956,0.1081
50,0.7189,0.5500,0.8914,0.1318
55,0.7562,0.6129,0.8878,0.1045
60,0.8037,0.6882,0.9027,0.0820
65,0.8108,0.7060,0.9036,0.0778
70,0.8414,0.7692,0.9104,0.0623
75,0.8408,0.7761,0.9119,0.0606
80,0.8424,0.7879,0.9151,0.0599
85,0.8453,0.7905,0.9161,0.0591
90,0.8466,0.7893,0.9106,0.0590
95,0.8486,0.7937,0.9172,0.0572
100,0.8476,0.7924,0.9181,0.0574
105,0.8445,0.7893,0.9138,0.0586
110,0.8376,0.7822,0.9133,0.0607
115,0.8400,0.7863,0.9120,0.0607
120,0.8438,0.7906,0.9147,0.0590
125,0.8431,0.7922,0.9150,0.0585
130,0.8421,0.7914,0.9144,0.0590
135,0.8425,0.7919,0.9145,0.0585
140,0.8428,0.7922,0.9143,0.0585
145,0.8423,0.7919,0.9147,0.0586
150,0.8428,0.7926,0.9150,0.0583
