epoch,S,Fw,E,MAE
30,0.6061,0.3336,0.8897,0.1507
35,0.4794,0.2065,0.8253,0.2950
40,0.5391,0.2548,0.8808,0.2233
45,0.6861,0.4132,0.9069,0.1005
50,0.6275,0.3435,0.9006,0.1399
55,0.7047,0.4547,0.9061,0.0821
60,0.7625,0.5434,0.9216,0.0558
65,0.7838,0.5823,0.9190,0.0467
70,0.8298,0.6821,0.9243,0.0349
75,0.8442,0.7142,0.9304,0.0285
80,0.8658,0.7753,0.9393,0.0244
85,0.8653,0.7753,0.9389,0.0244
90,0.8653,0.7683,0.9343,0.0250
95,0.8659,0.7734,0.9376,0.0246
100,0.8690,0.7763,0.9392,0.0239
105,0.8673,0.7793,0.9410,0.0238
110,0.8661,0.7793,0.9398,0.0240
115,0.8662,0.7776,0.9397,0.0244
120,0.8679,0.7791,0.9408,0.0236
125,0.8673,0.7821,0.9402,0.0236
130,0.8680,0.7826,0.9401,0.0237
135,0.8677,0.7832,0.9398,0.0236
140,0.8681,0.7831,0.9403,0.0236
145,0.8673,0.7832,0.9397,0.0237
150,0.8676,0.7836,0.9396,0.0237
