epoch,stage,total,bce,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
1,C3_broad_1to1,0.478004,0.478004,0.150034,0.325787,0.399769,0.274444,0.441757,0.343398,0.214845
2,C3_broad_1to1,0.303971,0.303971,0.150239,0.321808,0.416733,0.261459,0.440033,0.345846,0.214122
3,C3_broad_1to1,0.203073,0.203073,0.150650,0.323609,0.421211,0.255180,0.437050,0.348210,0.214739
4,C3_broad_1to1,0.144174,0.144174,0.151264,0.321889,0.424947,0.253165,0.435843,0.348334,0.215823
5,C3_broad_1to1,0.106349,0.106349,0.152080,0.320684,0.425829,0.253487,0.434378,0.346983,0.218639
6,C3_broad_1to1,0.082691,0.082691,0.153096,0.320678,0.424595,0.254726,0.436198,0.346213,0.217589
7,C3_broad_1to1,0.066309,0.066309,0.154309,0.321580,0.423488,0.254933,0.434956,0.348159,0.216886
8,C3_broad_1to1,0.054417,0.054417,0.155715,0.319963,0.424420,0.255616,0.436824,0.348951,0.214225
9,C3_broad_1to1,0.046912,0.046912,0.157312,0.318423,0.425157,0.256420,0.437784,0.347987,0.214229
10,C3_broad_1to1,0.041748,0.041748,0.159094,0.318053,0.425288,0.256659,0.437394,0.348161,0.214445
11,C3_broad_1to1,0.038816,0.038816,0.161057,0.318048,0.424067,0.257885,0.437610,0.347953,0.214436
12,C3_broad_1to1,0.035092,0.035092,0.163195,0.314785,0.427449,0.257767,0.438664,0.348227,0.213109
13,C3_broad_1to1,0.032710,0.032710,0.165503,0.316985,0.426078,0.256937,0.441073,0.348836,0.210090
14,C3_broad_1to1,0.030212,0.030212,0.167974,0.317064,0.425659,0.257277,0.440385,0.348501,0.211114
15,C3_broad_1to1,0.028290,0.028290,0.170600,0.317062,0.424823,0.258116,0.440703,0.349592,0.209705
16,C3_broad_1to1,0.027364,0.027364,0.173376,0.316318,0.425157,0.258524,0.441324,0.349609,0.209067
17,C3_broad_1to1,0.025627,0.025627,0.176294,0.314161,0.426188,0.259651,0.443227,0.347400,0.209373
18,C3_broad_1to1,0.024622,0.024622,0.179345,0.314273,0.426037,0.259691,0.442049,0.348203,0.209748
19,C3_broad_1to1,0.024493,0.024493,0.182521,0.314631,0.426439,0.258930,0.442811,0.348918,0.208270
