epoch,S,Fw,E,MAE
30,0.6578,0.4845,0.8861,0.1688
35,0.5857,0.4077,0.8547,0.2324
40,0.7295,0.5692,0.8985,0.1188
45,0.7249,0.5588,0.9062,0.1281
50,0.6939,0.5092,0.8922,0.1495
55,0.7450,0.5893,0.9014,0.1137
60,0.7534,0.5956,0.8939,0.1052
65,0.8080,0.7146,0.9076,0.0745
70,0.8064,0.7171,0.9058,0.0704
75,0.8394,0.7972,0.9109,0.0572
80,0.8369,0.8002,0.9128,0.0563
85,0.8420,0.8053,0.9168,0.0552
90,0.8346,0.7977,0.9109,0.0579
95,0.8401,0.8028,0.9151,0.0562
100,0.8368,0.8007,0.9109,0.0562
105,0.8398,0.8054,0.9129,0.0562
110,0.8454,0.8106,0.9193,0.0536
115,0.8431,0.8064,0.9144,0.0550
120,0.8378,0.8037,0.9121,0.0570
125,0.8420,0.8090,0.9163,0.0552
130,0.8419,0.8078,0.9144,0.0554
135,0.8436,0.8091,0.9163,0.0546
140,0.8415,0.8075,0.9143,0.0553
145,0.8417,0.8069,0.9149,0.0555
150,0.8414,0.8064,0.9140,0.0556
