epoch,S,Fw,E,MAE
30,0.5713,0.3032,0.8454,0.1667
35,0.5055,0.2373,0.8404,0.2417
40,0.6483,0.3890,0.9024,0.1053
45,0.6501,0.3821,0.9190,0.1097
50,0.6139,0.3284,0.8956,0.1395
55,0.6618,0.3986,0.9107,0.1046
60,0.6771,0.4154,0.9076,0.0941
65,0.8082,0.6560,0.9199,0.0389
70,0.8059,0.6505,0.9248,0.0375
75,0.8591,0.7828,0.9383,0.0237
80,0.8612,0.7910,0.9387,0.0234
85,0.8660,0.7947,0.9424,0.0228
90,0.8633,0.7942,0.9389,0.0232
95,0.8621,0.7918,0.9363,0.0232
100,0.8624,0.7912,0.9372,0.0236
105,0.8644,0.7952,0.9394,0.0231
110,0.8637,0.7910,0.9387,0.0234
115,0.8653,0.7929,0.9387,0.0231
120,0.8640,0.7929,0.9389,0.0229
125,0.8651,0.7948,0.9395,0.0228
130,0.8648,0.7948,0.9391,0.0230
135,0.8659,0.7958,0.9399,0.0227
140,0.8655,0.7964,0.9398,0.0227
145,0.8654,0.7963,0.9398,0.0228
150,0.8659,0.7973,0.9401,0.0227
