epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
1,C3_broad_1to1,0.824641,0.497748,0.326893,2.000000,0.150034,0.320961,0.396249,0.282789,0.442542,0.339109,0.218350
2,C3_broad_1to1,0.540903,0.322977,0.217926,2.000000,0.150239,0.318749,0.406314,0.274938,0.444504,0.336298,0.219197
3,C3_broad_1to1,0.377656,0.226966,0.150689,2.000000,0.150650,0.323519,0.405963,0.270518,0.441089,0.336422,0.222489
4,C3_broad_1to1,0.287135,0.172707,0.114428,2.000000,0.151264,0.320946,0.408476,0.270578,0.439993,0.335871,0.224137
5,C3_broad_1to1,0.231581,0.137855,0.093726,2.000000,0.152080,0.320149,0.408247,0.271605,0.437177,0.335856,0.226968
6,C3_broad_1to1,0.198076,0.115626,0.082449,2.000000,0.153096,0.319295,0.407886,0.272819,0.438226,0.334292,0.227482
7,C3_broad_1to1,0.179288,0.102648,0.076640,2.000000,0.154309,0.320767,0.406661,0.272572,0.437058,0.334420,0.228522
8,C3_broad_1to1,0.161748,0.090277,0.071471,2.000000,0.155715,0.323047,0.405340,0.271614,0.435386,0.335802,0.228812
9,C3_broad_1to1,0.154921,0.084830,0.070091,2.000000,0.157312,0.323680,0.403634,0.272686,0.435817,0.336147,0.228037
10,C3_broad_1to1,0.142802,0.076850,0.065952,2.000000,0.159094,0.322928,0.403360,0.273712,0.436190,0.336572,0.227238
11,C3_broad_1to1,0.140831,0.074377,0.066454,2.000000,0.161057,0.322777,0.403642,0.273580,0.436801,0.335389,0.227811
12,C3_broad_1to1,0.132526,0.068988,0.063537,2.000000,0.163195,0.322893,0.402581,0.274526,0.436151,0.335398,0.228450
13,C3_broad_1to1,0.128032,0.066320,0.061712,2.000000,0.165503,0.323002,0.403272,0.273726,0.437652,0.334745,0.227603
14,C3_broad_1to1,0.124066,0.063371,0.060696,2.000000,0.167974,0.321192,0.404265,0.274543,0.436713,0.334519,0.228768
15,C3_broad_1to1,0.123685,0.062974,0.060711,2.000000,0.170600,0.321991,0.402765,0.275243,0.438867,0.334143,0.226989
16,C3_broad_1to1,0.117909,0.059080,0.058829,2.000000,0.173376,0.322153,0.402413,0.275434,0.439210,0.335651,0.225138
17,C3_broad_1to1,0.116021,0.058342,0.057680,2.000000,0.176294,0.323555,0.402152,0.274293,0.436980,0.336439,0.226581
18,C3_broad_1to1,0.111634,0.055702,0.055932,2.000000,0.179345,0.324374,0.401134,0.274493,0.439804,0.335182,0.225014
19,C3_broad_1to1,0.109600,0.054499,0.055101,2.000000,0.182521,0.323605,0.400640,0.275755,0.438971,0.334539,0.226490
20,C3_broad_1to1,0.103983,0.051460,0.052523,2.000000,0.185814,0.323715,0.399729,0.276556,0.438908,0.333887,0.227205
21,C3_broad_1to1,0.107662,0.053284,0.054378,2.000000,0.189214,0.322420,0.400020,0.277561,0.442392,0.331903,0.225705
22,C3_broad_1to1,0.105245,0.052157,0.053088,2.000000,0.192712,0.322193,0.399369,0.278438,0.441602,0.331768,0.226631
23,C3_broad_1to1,0.102597,0.050701,0.051895,2.000000,0.196298,0.322120,0.399555,0.278325,0.443073,0.330429,0.226498
24,C3_broad_1to1,0.104352,0.051191,0.053161,2.000000,0.199964,0.321019,0.399969,0.279012,0.441797,0.330347,0.227856
25,C3_broad_1to1,0.098644,0.048381,0.050264,2.000000,0.203698,0.319646,0.400897,0.279457,0.441767,0.329171,0.229062
26,C3_broad_1to1,0.098819,0.048511,0.050308,2.000000,0.207490,0.321755,0.399120,0.279125,0.443524,0.327901,0.228574
27,C3_broad_1to1,0.095861,0.047026,0.048835,2.000000,0.211330,0.321900,0.399109,0.278991,0.443081,0.326619,0.230301
28,C3_broad_1to1,0.096075,0.046784,0.049291,2.000000,0.215208,0.322454,0.398193,0.279353,0.442930,0.326536,0.230534
29,C3_broad_1to1,0.093376,0.045317,0.048059,2.000000,0.219112,0.321241,0.398654,0.280105,0.440173,0.330037,0.229790
30,C3_broad_1to1,0.091550,0.044882,0.046668,2.000000,0.223033,0.321905,0.397506,0.280589,0.439541,0.330233,0.230226
31,C3_broad_1to1,0.090601,0.044297,0.046304,2.000000,0.226959,0.320944,0.397427,0.281629,0.439621,0.330037,0.230342
32,C3_broad_1to1,0.089466,0.043390,0.046076,2.000000,0.230880,0.320944,0.396147,0.282908,0.442852,0.327282,0.229866
33,C3_broad_1to1,0.088323,0.042987,0.045336,2.000000,0.234784,0.320309,0.396378,0.283313,0.440812,0.329317,0.229871
34,C3_broad_1to1,0.088918,0.043447,0.045471,2.000000,0.238662,0.320165,0.395846,0.283990,0.442902,0.328662,0.228436
35,C3_broad_1to1,0.086334,0.042019,0.044315,2.000000,0.242503,0.321399,0.395266,0.283335,0.441789,0.329403,0.228809
36,C3_broad_1to1,0.084329,0.041148,0.043182,2.000000,0.246295,0.321438,0.395312,0.283249,0.443263,0.328666,0.228070
37,C3_broad_1to1,0.084162,0.041140,0.043022,2.000000,0.250029,0.319780,0.396440,0.283780,0.442630,0.327966,0.229403
38,C3_broad_1to1,0.084378,0.040937,0.043441,2.000000,0.253694,0.319210,0.395994,0.284796,0.443817,0.326583,0.229600
39,C3_broad_1to1,0.083357,0.040172,0.043185,2.000000,0.257281,0.320197,0.395216,0.284587,0.443593,0.326420,0.229986
40,C3_broad_1to1,0.081408,0.039409,0.041998,2.000000,0.260779,0.319204,0.395617,0.285179,0.441198,0.328966,0.229835
41,C3_broad_1to1,0.080548,0.039053,0.041495,2.000000,0.264180,0.319581,0.395553,0.284865,0.443763,0.328378,0.227859
42,C3_broad_1to1,0.081308,0.039774,0.041534,2.000000,0.267472,0.319134,0.394942,0.285924,0.443382,0.328080,0.228538
43,C3_broad_1to1,0.080396,0.038924,0.041472,2.000000,0.270649,0.319824,0.395515,0.284661,0.444470,0.328025,0.227505
44,C3_broad_1to1,0.079535,0.038714,0.040821,2.000000,0.273700,0.320054,0.394510,0.285435,0.444737,0.327148,0.228115
45,C3_broad_1to1,0.078638,0.038277,0.040362,2.000000,0.276618,0.319841,0.393882,0.286277,0.446975,0.325690,0.227335
46,C3_broad_1to1,0.077354,0.037466,0.039888,2.000000,0.279394,0.320359,0.394456,0.285185,0.446424,0.324254,0.229322
47,C3_broad_1to1,0.076949,0.037033,0.039916,2.000000,0.282021,0.320598,0.394342,0.285060,0.446669,0.323713,0.229618
48,C3_broad_1to1,0.076944,0.036893,0.040050,2.000000,0.284492,0.319328,0.394547,0.286126,0.446027,0.324243,0.229730
