epoch,S,Fw,E,MAE
30,0.8497,0.7608,0.9149,0.0637
35,0.8383,0.7496,0.9064,0.0671
40,0.8463,0.7666,0.9150,0.0638
45,0.8389,0.7525,0.9086,0.0664
50,0.8412,0.7645,0.9114,0.0641
55,0.8395,0.7656,0.9056,0.0634
60,0.8438,0.7687,0.9142,0.0636
65,0.8284,0.7839,0.9039,0.0614
70,0.8254,0.7808,0.8989,0.0623
75,0.8302,0.7901,0.9056,0.0611
80,0.8281,0.7857,0.9041,0.0603
85,0.8321,0.7923,0.9075,0.0579
90,0.8332,0.7926,0.9083,0.0572
95,0.8255,0.7832,0.9016,0.0599
100,0.8332,0.7938,0.9060,0.0576
105,0.8222,0.7793,0.8944,0.0623
110,0.8249,0.7800,0.8969,0.0603
115,0.8223,0.7800,0.8905,0.0610
120,0.8290,0.7906,0.9038,0.0599
125,0.8318,0.7935,0.9055,0.0579
130,0.8314,0.7924,0.9045,0.0581
135,0.8320,0.7942,0.9058,0.0581
140,0.8332,0.7952,0.9066,0.0575
145,0.8322,0.7932,0.9046,0.0579
150,0.8321,0.7938,0.9050,0.0581
