epoch,S,Fw,E,MAE
30,0.8452,0.6649,0.9351,0.0342
35,0.8449,0.6737,0.9354,0.0337
40,0.8461,0.6788,0.9386,0.0329
45,0.8452,0.6695,0.9367,0.0333
50,0.8515,0.6902,0.9388,0.0304
55,0.8521,0.6985,0.9375,0.0305
60,0.8527,0.6993,0.9384,0.0300
65,0.8647,0.7908,0.9392,0.0233
70,0.8631,0.7899,0.9373,0.0240
75,0.8634,0.7916,0.9399,0.0235
80,0.8633,0.7922,0.9394,0.0236
85,0.8610,0.7883,0.9357,0.0232
90,0.8629,0.7910,0.9388,0.0236
95,0.8631,0.7932,0.9387,0.0233
100,0.8601,0.7900,0.9360,0.0239
105,0.8604,0.7911,0.9383,0.0231
110,0.8601,0.7891,0.9384,0.0233
115,0.8590,0.7911,0.9363,0.0238
120,0.8633,0.7928,0.9368,0.0238
125,0.8635,0.7947,0.9394,0.0232
130,0.8635,0.7942,0.9393,0.0232
135,0.8638,0.7952,0.9397,0.0232
140,0.8639,0.7952,0.9403,0.0232
145,0.8637,0.7947,0.9398,0.0233
150,0.8633,0.7939,0.9389,0.0234
