epoch,stage,total,bce,wbce,nc,q,base_loss,region_coef,region_ratio,region_ual,region_ual_raw
1,C3_broad_1to1,0.762008,0.460114,0.460114,0.301894,2.000000,0.762008,0.000000,0.142617,0.000000,0.691409
2,C3_broad_1to1,0.467165,0.282076,0.282076,0.185089,2.000000,0.467165,0.000000,0.145005,0.000000,0.554835
3,C3_broad_1to1,0.326653,0.197359,0.197359,0.129293,2.000000,0.326653,0.000000,0.144185,0.000000,0.446200
4,C3_broad_1to1,0.255619,0.152602,0.152602,0.103017,2.000000,0.255619,0.000000,0.144660,0.000000,0.378830
5,C3_broad_1to1,0.211232,0.123831,0.123831,0.087400,2.000000,0.211232,0.000000,0.145683,0.000000,0.326307
6,C3_broad_1to1,0.185633,0.105562,0.105562,0.080071,2.000000,0.185633,0.000000,0.141152,0.000000,0.293795
7,C3_broad_1to1,0.171163,0.094690,0.094690,0.076473,2.000000,0.171163,0.000000,0.140594,0.000000,0.273540
8,C3_broad_1to1,0.157930,0.085945,0.085945,0.071985,2.000000,0.157930,0.000000,0.145091,0.000000,0.256438
9,C3_broad_1to1,0.154435,0.082123,0.082123,0.072312,2.000000,0.154435,0.000000,0.142421,0.000000,0.245496
10,C3_broad_1to1,0.146013,0.076073,0.076073,0.069940,2.000000,0.146013,0.000000,0.141073,0.000000,0.236376
11,C3_broad_1to1,0.139796,0.073117,0.073117,0.066679,2.000000,0.139796,0.000000,0.144456,0.000000,0.221902
12,C3_broad_1to1,0.133229,0.068322,0.068322,0.064907,2.000000,0.133229,0.000000,0.141167,0.000000,0.217116
13,C3_broad_1to1,0.137036,0.069313,0.069313,0.067722,2.000000,0.137036,0.000000,0.142221,0.000000,0.218072
14,C3_broad_1to1,0.126776,0.065048,0.065048,0.061728,2.000000,0.126776,0.000000,0.148203,0.000000,0.204443
15,C3_broad_1to1,0.124243,0.062353,0.062353,0.061890,2.000000,0.124243,0.000000,0.142260,0.000000,0.201982
16,C3_broad_1to1,0.120376,0.060156,0.060156,0.060220,2.000000,0.120376,0.000000,0.140853,0.000000,0.198501
17,C3_broad_1to1,0.118604,0.059560,0.059560,0.059045,2.000000,0.118604,0.000000,0.145781,0.000000,0.192980
18,C3_broad_1to1,0.117815,0.059256,0.059256,0.058559,2.000000,0.117815,0.000000,0.146570,0.000000,0.190207
19,C3_broad_1to1,0.113918,0.056675,0.056675,0.057244,2.000000,0.113918,0.000000,0.143652,0.000000,0.187219
