epoch,S,Fw,E,MAE
30,0.8611,0.8088,0.9217,0.0544
35,0.8673,0.8175,0.9265,0.0514
40,0.8486,0.7946,0.9141,0.0574
45,0.8598,0.8104,0.9218,0.0540
50,0.8591,0.8120,0.9211,0.0548
55,0.8574,0.8094,0.9187,0.0552
60,0.8579,0.8149,0.9245,0.0554
65,0.8549,0.8095,0.9215,0.0559
70,0.8547,0.8145,0.9215,0.0561
75,0.8480,0.8001,0.9137,0.0579
80,0.8513,0.8093,0.9189,0.0570
85,0.8475,0.8048,0.9132,0.0579
90,0.8543,0.8137,0.9157,0.0559
95,0.8438,0.7989,0.9101,0.0595
100,0.8503,0.8091,0.9155,0.0563
105,0.8471,0.8065,0.9157,0.0574
110,0.8473,0.8067,0.9152,0.0569
115,0.8457,0.8064,0.9164,0.0583
120,0.8511,0.8112,0.9179,0.0557
