epoch,S,Fw,E,MAE
30,0.8768,0.7906,0.9429,0.0229
35,0.8745,0.7841,0.9392,0.0234
40,0.8727,0.7879,0.9368,0.0226
45,0.8759,0.7919,0.9411,0.0226
50,0.8787,0.8007,0.9420,0.0219
55,0.8756,0.7953,0.9386,0.0227
60,0.8762,0.7990,0.9403,0.0222
65,0.8762,0.8011,0.9411,0.0222
70,0.8752,0.8008,0.9382,0.0227
75,0.8723,0.7970,0.9375,0.0228
80,0.8757,0.8046,0.9413,0.0222
85,0.8749,0.8044,0.9405,0.0218
90,0.8770,0.8057,0.9412,0.0214
95,0.8677,0.7903,0.9345,0.0241
100,0.8763,0.8069,0.9422,0.0214
105,0.8754,0.8064,0.9403,0.0218
110,0.8749,0.8073,0.9410,0.0216
115,0.8753,0.8067,0.9414,0.0225
120,0.8762,0.8073,0.9402,0.0216
