epoch,stage,total,bce
1,C3_broad_1to1,0.300086,0.300086
2,C3_broad_1to1,0.165789,0.165789
3,C3_broad_1to1,0.108138,0.108138
4,C3_broad_1to1,0.076238,0.076238
5,C3_broad_1to1,0.058420,0.058420
6,C3_broad_1to1,0.046774,0.046774
7,C3_broad_1to1,0.039754,0.039754
8,C3_broad_1to1,0.035262,0.035262
9,C3_broad_1to1,0.031536,0.031536
10,C3_broad_1to1,0.028255,0.028255
11,C3_broad_1to1,0.026961,0.026961
12,C3_broad_1to1,0.024676,0.024676
13,C3_broad_1to1,0.023500,0.023500
14,C3_broad_1to1,0.023598,0.023598
15,C3_broad_1to1,0.021974,0.021974
16,C3_broad_1to1,0.020848,0.020848
17,C3_broad_1to1,0.020037,0.020037
18,C3_broad_1to1,0.021491,0.021491
19,C3_broad_1to1,0.019287,0.019287
20,C3_broad_1to1,0.018192,0.018192
21,C3_broad_1to1,0.018552,0.018552
22,C3_broad_1to1,0.017924,0.017924
23,C3_broad_1to1,0.017679,0.017679
24,C3_broad_1to1,0.017832,0.017832
25,C3_broad_1to1,0.017841,0.017841
26,C3_broad_1to1,0.017236,0.017236
27,C3_broad_1to1,0.017059,0.017059
28,C3_broad_1to1,0.016307,0.016307
29,C3_broad_1to1,0.016518,0.016518
30,C3_broad_1to1,0.017216,0.017216
31,C3_broad_1to1,0.016282,0.016282
32,C3_broad_1to1,0.015273,0.015273
33,C3_broad_1to1,0.015298,0.015298
34,C3_broad_1to1,0.015215,0.015215
35,C3_broad_1to1,0.017181,0.017181
36,C3_broad_1to1,0.015572,0.015572
37,C3_broad_1to1,0.015529,0.015529
38,C3_broad_1to1,0.015333,0.015333
39,C3_broad_1to1,0.014895,0.014895
40,C3_broad_1to1,0.014814,0.014814
41,C3_broad_1to1,0.015168,0.015168
42,C3_broad_1to1,0.014719,0.014719
43,C3_broad_1to1,0.015026,0.015026
44,C3_broad_1to1,0.014272,0.014272
45,C3_broad_1to1,0.014474,0.014474
46,C3_broad_1to1,0.017124,0.017124
47,C3_broad_1to1,0.015134,0.015134
48,C3_broad_1to1,0.014272,0.014272
49,C3_broad_1to1,0.014475,0.014475
50,C3_broad_1to1,0.014563,0.014563
51,C3_broad_1to1,0.014029,0.014029
52,C3_broad_1to1,0.014412,0.014412
53,C3_broad_1to1,0.015419,0.015419
54,C3_broad_1to1,0.014259,0.014259
55,C3_broad_1to1,0.013928,0.013928
56,C3_broad_1to1,0.013920,0.013920
57,C3_broad_1to1,0.014320,0.014320
58,C3_broad_1to1,0.014610,0.014610
59,C3_broad_1to1,0.013901,0.013901
60,C3_broad_1to1,0.014634,0.014634
61,C3_anneal,0.013831,0.013831
62,C3_anneal,0.014264,0.014264
63,C3_anneal,0.013891,0.013891
64,C3_anneal,0.014163,0.014163
65,C3_anneal,0.013924,0.013924
66,C3_anneal,0.014121,0.014121
67,C3_anneal,0.014528,0.014528
68,C3_anneal,0.014521,0.014521
69,C3_anneal,0.013961,0.013961
70,C3_anneal,0.014088,0.014088
71,C3_anneal,0.014164,0.014164
72,C3_anneal,0.014400,0.014400
73,C3_anneal,0.014496,0.014496
74,C3_anneal,0.013744,0.013744
75,C3_anneal,0.016523,0.016523
76,C3_anneal,0.014372,0.014372
77,C3_anneal,0.013978,0.013978
78,C3_anneal,0.013946,0.013946
79,C3_anneal,0.013718,0.013718
80,C3_anneal,0.013786,0.013786
81,C3_anneal,0.014143,0.014143
82,C3_anneal,0.014460,0.014460
83,C3_anneal,0.015154,0.015154
84,C3_anneal,0.014333,0.014333
85,C3_anneal,0.014233,0.014233
86,C3_anneal,0.013585,0.013585
87,C3_anneal,0.013438,0.013438
88,C3_anneal,0.013941,0.013941
89,C3_anneal,0.014183,0.014183
90,C3_anneal,0.014014,0.014014
91,C3_anneal,0.013974,0.013974
92,C3_anneal,0.014087,0.014087
93,C3_anneal,0.013911,0.013911
94,C3_anneal,0.014099,0.014099
95,C3_anneal,0.013592,0.013592
96,C3_anneal,0.014601,0.014601
97,C3_anneal,0.013768,0.013768
98,C3_anneal,0.013718,0.013718
99,C3_anneal,0.013878,0.013878
100,C3_anneal,0.013499,0.013499
101,C3_anneal,0.013630,0.013630
102,C3_anneal,0.013809,0.013809
103,C3_anneal,0.013738,0.013738
104,C3_anneal,0.013893,0.013893
105,C3_anneal,0.013620,0.013620
106,C3_anneal,0.014181,0.014181
107,C3_anneal,0.013853,0.013853
108,C3_anneal,0.013586,0.013586
109,C3_anneal,0.013118,0.013118
110,C3_anneal,0.013372,0.013372
111,C3_anneal,0.013087,0.013087
112,C3_anneal,0.013393,0.013393
113,C3_anneal,0.013462,0.013462
114,C3_anneal,0.013261,0.013261
115,C3_anneal,0.013301,0.013301
116,C3_anneal,0.013361,0.013361
117,C3_anneal,0.013185,0.013185
118,C3_anneal,0.013076,0.013076
119,C3_anneal,0.012748,0.012748
120,C3_anneal,0.013001,0.013001
121,C3_anneal,0.012600,0.012600
