epoch,S,Fw,E,MAE
30,0.8511,0.7811,0.9221,0.0599
35,0.8514,0.7869,0.9225,0.0589
40,0.8526,0.7873,0.9199,0.0587
45,0.8344,0.7637,0.9082,0.0643
50,0.8447,0.7827,0.9149,0.0597
55,0.8461,0.7831,0.9157,0.0592
60,0.8324,0.7682,0.9091,0.0625
65,0.8467,0.7892,0.9154,0.0592
70,0.8394,0.7808,0.9112,0.0612
75,0.8490,0.7961,0.9193,0.0571
80,0.8446,0.7896,0.9174,0.0591
85,0.8436,0.7889,0.9148,0.0592
90,0.8506,0.8004,0.9200,0.0561
95,0.8418,0.7893,0.9144,0.0593
100,0.8400,0.7870,0.9134,0.0595
105,0.8446,0.7933,0.9131,0.0582
110,0.8395,0.7861,0.9120,0.0603
115,0.8473,0.7966,0.9174,0.0577
120,0.8479,0.7982,0.9178,0.0575
125,0.8465,0.7961,0.9160,0.0581
130,0.8430,0.7928,0.9150,0.0590
135,0.8426,0.7932,0.9142,0.0588
140,0.8443,0.7956,0.9157,0.0582
145,0.8460,0.7973,0.9168,0.0576
150,0.8444,0.7965,0.9161,0.0578
