epoch,S,Fw,E,MAE
30,0.8647,0.7534,0.9394,0.0259
35,0.8647,0.7577,0.9376,0.0260
40,0.8671,0.7626,0.9387,0.0256
45,0.8633,0.7579,0.9369,0.0266
50,0.8649,0.7677,0.9377,0.0254
55,0.8632,0.7605,0.9352,0.0254
60,0.8654,0.7714,0.9411,0.0242
65,0.8690,0.7734,0.9405,0.0242
70,0.8675,0.7765,0.9405,0.0242
75,0.8674,0.7774,0.9390,0.0243
80,0.8688,0.7811,0.9403,0.0237
85,0.8679,0.7791,0.9404,0.0240
90,0.8706,0.7839,0.9426,0.0233
95,0.8679,0.7821,0.9414,0.0234
100,0.8678,0.7834,0.9401,0.0235
105,0.8683,0.7828,0.9401,0.0239
110,0.8663,0.7817,0.9390,0.0240
115,0.8685,0.7820,0.9393,0.0238
120,0.8685,0.7849,0.9401,0.0237
125,0.8694,0.7857,0.9402,0.0236
130,0.8681,0.7859,0.9402,0.0237
135,0.8684,0.7863,0.9404,0.0234
140,0.8687,0.7857,0.9400,0.0234
145,0.8691,0.7863,0.9401,0.0233
150,0.8686,0.7863,0.9399,0.0233
