epoch,stage,total,bce,deep
1,C3_broad_1to1,0.161710,0.161710,0.000000
2,C3_broad_1to1,0.064473,0.064473,0.000000
3,C3_broad_1to1,0.053392,0.053392,0.000000
4,C3_broad_1to1,0.044069,0.044069,0.000000
5,C3_broad_1to1,0.040914,0.040914,0.000000
6,C3_broad_1to1,0.036952,0.036952,0.000000
7,C3_broad_1to1,0.034258,0.034258,0.000000
8,C3_broad_1to1,0.031615,0.031615,0.000000
9,C3_broad_1to1,0.031502,0.031502,0.000000
10,C3_broad_1to1,0.029443,0.029443,0.000000
11,C3_broad_1to1,0.028268,0.028268,0.000000
12,C3_broad_1to1,0.027321,0.027321,0.000000
13,C3_broad_1to1,0.025890,0.025890,0.000000
14,C3_broad_1to1,0.025247,0.025247,0.000000
15,C3_broad_1to1,0.025287,0.025287,0.000000
16,C3_broad_1to1,0.025709,0.025709,0.000000
17,C3_broad_1to1,0.022829,0.022829,0.000000
18,C3_broad_1to1,0.022784,0.022784,0.000000
19,C3_broad_1to1,0.021463,0.021463,0.000000
20,C3_broad_1to1,0.020775,0.020775,0.000000
21,C3_broad_1to1,0.020497,0.020497,0.000000
22,C3_broad_1to1,0.020040,0.020040,0.000000
23,C3_broad_1to1,0.020102,0.020102,0.000000
24,C3_broad_1to1,0.019642,0.019642,0.000000
25,C3_broad_1to1,0.018686,0.018686,0.000000
26,C3_broad_1to1,0.019211,0.019211,0.000000
27,C3_broad_1to1,0.018800,0.018800,0.000000
28,C3_broad_1to1,0.018657,0.018657,0.000000
29,C3_broad_1to1,0.017584,0.017584,0.000000
30,C3_broad_1to1,0.017554,0.017554,0.000000
31,C3_broad_1to1,0.016763,0.016763,0.000000
32,C3_broad_1to1,0.017974,0.017974,0.000000
33,C3_broad_1to1,0.016798,0.016798,0.000000
34,C3_broad_1to1,0.016612,0.016612,0.000000
35,C3_broad_1to1,0.015796,0.015796,0.000000
36,C3_broad_1to1,0.015869,0.015869,0.000000
37,C3_broad_1to1,0.015817,0.015817,0.000000
38,C3_broad_1to1,0.015603,0.015603,0.000000
39,C3_broad_1to1,0.014742,0.014742,0.000000
40,C3_broad_1to1,0.015431,0.015431,0.000000
41,C3_broad_1to1,0.015317,0.015317,0.000000
42,C3_broad_1to1,0.014989,0.014989,0.000000
43,C3_broad_1to1,0.015037,0.015037,0.000000
44,C3_broad_1to1,0.015026,0.015026,0.000000
45,C3_broad_1to1,0.014622,0.014622,0.000000
46,C3_broad_1to1,0.014760,0.014760,0.000000
47,C3_broad_1to1,0.014388,0.014388,0.000000
48,C3_broad_1to1,0.013491,0.013491,0.000000
49,C3_broad_1to1,0.013830,0.013830,0.000000
50,C3_broad_1to1,0.013927,0.013927,0.000000
51,C3_broad_1to1,0.013247,0.013247,0.000000
52,C3_broad_1to1,0.013380,0.013380,0.000000
53,C3_broad_1to1,0.013423,0.013423,0.000000
54,C3_broad_1to1,0.012719,0.012719,0.000000
55,C3_broad_1to1,0.013885,0.013885,0.000000
56,C3_broad_1to1,0.012900,0.012900,0.000000
57,C3_broad_1to1,0.012957,0.012957,0.000000
58,C3_broad_1to1,0.012542,0.012542,0.000000
59,C3_broad_1to1,0.013204,0.013204,0.000000
60,C3_broad_1to1,0.013181,0.013181,0.000000
61,C3_anneal,0.012446,0.012446,0.000000
62,C3_anneal,0.012399,0.012399,0.000000
63,C3_anneal,0.013200,0.013200,0.000000
64,C3_anneal,0.012027,0.012027,0.000000
65,C3_anneal,0.011911,0.011911,0.000000
66,C3_anneal,0.011671,0.011671,0.000000
67,C3_anneal,0.012039,0.012039,0.000000
68,C3_anneal,0.011762,0.011762,0.000000
69,C3_anneal,0.011472,0.011472,0.000000
70,C3_anneal,0.012104,0.012104,0.000000
71,C3_anneal,0.011695,0.011695,0.000000
72,C3_anneal,0.011463,0.011463,0.000000
73,C3_anneal,0.011433,0.011433,0.000000
74,C3_anneal,0.011498,0.011498,0.000000
75,C3_anneal,0.011305,0.011305,0.000000
76,C3_anneal,0.011016,0.011016,0.000000
77,C3_anneal,0.011030,0.011030,0.000000
78,C3_anneal,0.011202,0.011202,0.000000
79,C3_anneal,0.010509,0.010509,0.000000
80,C3_anneal,0.010825,0.010825,0.000000
81,C3_anneal,0.011185,0.011185,0.000000
82,C3_anneal,0.010655,0.010655,0.000000
83,C3_anneal,0.010459,0.010459,0.000000
84,C3_anneal,0.010394,0.010394,0.000000
85,C3_anneal,0.010840,0.010840,0.000000
86,C3_anneal,0.010600,0.010600,0.000000
87,C3_anneal,0.010373,0.010373,0.000000
88,C3_anneal,0.010664,0.010664,0.000000
89,C3_anneal,0.009958,0.009958,0.000000
90,C3_anneal,0.010233,0.010233,0.000000
91,C3_anneal,0.010013,0.010013,0.000000
92,C3_anneal,0.011312,0.011312,0.000000
93,C3_anneal,0.010971,0.010971,0.000000
94,C3_anneal,0.009691,0.009691,0.000000
95,C3_anneal,0.009892,0.009892,0.000000
96,C3_anneal,0.010116,0.010116,0.000000
97,C3_anneal,0.009823,0.009823,0.000000
98,C3_anneal,0.009862,0.009862,0.000000
99,C3_anneal,0.009743,0.009743,0.000000
100,C3_anneal,0.009537,0.009537,0.000000
101,C3_anneal,0.009870,0.009870,0.000000
102,C3_anneal,0.009523,0.009523,0.000000
103,C3_anneal,0.009626,0.009626,0.000000
104,C3_anneal,0.010100,0.010100,0.000000
105,C3_anneal,0.009270,0.009270,0.000000
106,C3_anneal,0.009160,0.009160,0.000000
107,C3_anneal,0.009228,0.009228,0.000000
108,C3_anneal,0.009771,0.009771,0.000000
109,C3_anneal,0.009110,0.009110,0.000000
110,C3_anneal,0.009109,0.009109,0.000000
111,C3_anneal,0.008967,0.008967,0.000000
112,C3_anneal,0.008884,0.008884,0.000000
113,C3_anneal,0.009105,0.009105,0.000000
114,C3_anneal,0.009456,0.009456,0.000000
115,C3_anneal,0.009013,0.009013,0.000000
116,C3_anneal,0.008867,0.008867,0.000000
117,C3_anneal,0.008610,0.008610,0.000000
118,C3_anneal,0.010312,0.010312,0.000000
119,C3_anneal,0.008640,0.008640,0.000000
120,C3_anneal,0.008860,0.008860,0.000000
121,C3_anneal,0.008440,0.008440,0.000000
122,C3_anneal,0.008464,0.008464,0.000000
123,C3_anneal,0.008238,0.008238,0.000000
124,C3_anneal,0.008143,0.008143,0.000000
125,C3_anneal,0.008220,0.008220,0.000000
126,C3_anneal,0.008029,0.008029,0.000000
127,C3_anneal,0.008071,0.008071,0.000000
128,C3_anneal,0.007982,0.007982,0.000000
129,C3_anneal,0.007902,0.007902,0.000000
130,C3_anneal,0.007754,0.007754,0.000000
131,C3_anneal,0.007864,0.007864,0.000000
132,C3_anneal,0.008007,0.008007,0.000000
133,C3_anneal,0.007745,0.007745,0.000000
134,C3_anneal,0.007748,0.007748,0.000000
135,C3_anneal,0.007852,0.007852,0.000000
136,C3_anneal,0.007988,0.007988,0.000000
137,C3_anneal,0.007780,0.007780,0.000000
138,C3_anneal,0.007739,0.007739,0.000000
139,C3_anneal,0.007752,0.007752,0.000000
140,C3_anneal,0.007587,0.007587,0.000000
141,C3_reliable_0p3,0.007737,0.007737,0.000000
142,C3_reliable_0p3,0.007755,0.007755,0.000000
143,C3_reliable_0p3,0.007544,0.007544,0.000000
144,C3_reliable_0p3,0.007533,0.007533,0.000000
145,C3_reliable_0p3,0.007590,0.007590,0.000000
146,C3_reliable_0p3,0.007648,0.007648,0.000000
147,C3_reliable_0p3,0.007723,0.007723,0.000000
148,C3_reliable_0p3,0.007520,0.007520,0.000000
149,C3_reliable_0p3,0.007631,0.007631,0.000000
150,C3_reliable_0p3,0.007609,0.007609,0.000000
