epoch,S,Fw,E,MAE
30,0.8484,0.7839,0.9197,0.0597
35,0.8467,0.7807,0.9119,0.0600
40,0.8463,0.7860,0.9187,0.0584
45,0.8302,0.7644,0.9107,0.0639
50,0.8386,0.7763,0.9129,0.0622
55,0.8418,0.7846,0.9156,0.0596
60,0.8419,0.7780,0.9147,0.0605
65,0.8453,0.7912,0.9187,0.0581
70,0.8377,0.7842,0.9148,0.0606
75,0.8435,0.7875,0.9137,0.0594
80,0.8398,0.7847,0.9113,0.0603
85,0.8409,0.7854,0.9116,0.0599
90,0.8393,0.7851,0.9130,0.0610
95,0.8434,0.7943,0.9222,0.0586
100,0.8401,0.7871,0.9162,0.0600
105,0.8360,0.7843,0.9157,0.0609
