epoch,stage,total,bce,deep
1,C3_broad_1to1,0.148960,0.148960,0.000000
2,C3_broad_1to1,0.063492,0.063492,0.000000
3,C3_broad_1to1,0.051316,0.051316,0.000000
4,C3_broad_1to1,0.044952,0.044952,0.000000
5,C3_broad_1to1,0.039261,0.039261,0.000000
6,C3_broad_1to1,0.036739,0.036739,0.000000
7,C3_broad_1to1,0.034232,0.034232,0.000000
8,C3_broad_1to1,0.031912,0.031912,0.000000
9,C3_broad_1to1,0.030252,0.030252,0.000000
10,C3_broad_1to1,0.030045,0.030045,0.000000
11,C3_broad_1to1,0.030183,0.030183,0.000000
12,C3_broad_1to1,0.026603,0.026603,0.000000
13,C3_broad_1to1,0.025348,0.025348,0.000000
14,C3_broad_1to1,0.025274,0.025274,0.000000
15,C3_broad_1to1,0.024179,0.024179,0.000000
16,C3_broad_1to1,0.023295,0.023295,0.000000
17,C3_broad_1to1,0.022337,0.022337,0.000000
18,C3_broad_1to1,0.022704,0.022704,0.000000
19,C3_broad_1to1,0.021189,0.021189,0.000000
20,C3_broad_1to1,0.021350,0.021350,0.000000
21,C3_broad_1to1,0.020813,0.020813,0.000000
22,C3_broad_1to1,0.019801,0.019801,0.000000
23,C3_broad_1to1,0.019344,0.019344,0.000000
24,C3_broad_1to1,0.019410,0.019410,0.000000
25,C3_broad_1to1,0.019568,0.019568,0.000000
26,C3_broad_1to1,0.018874,0.018874,0.000000
27,C3_broad_1to1,0.017945,0.017945,0.000000
28,C3_broad_1to1,0.018147,0.018147,0.000000
29,C3_broad_1to1,0.017587,0.017587,0.000000
30,C3_broad_1to1,0.016995,0.016995,0.000000
31,C3_broad_1to1,0.018488,0.018488,0.000000
32,C3_broad_1to1,0.018594,0.018594,0.000000
33,C3_broad_1to1,0.017619,0.017619,0.000000
34,C3_broad_1to1,0.016268,0.016268,0.000000
35,C3_broad_1to1,0.016295,0.016295,0.000000
36,C3_broad_1to1,0.015896,0.015896,0.000000
37,C3_broad_1to1,0.016012,0.016012,0.000000
38,C3_broad_1to1,0.015155,0.015155,0.000000
39,C3_broad_1to1,0.015767,0.015767,0.000000
40,C3_broad_1to1,0.014750,0.014750,0.000000
41,C3_broad_1to1,0.014853,0.014853,0.000000
42,C3_broad_1to1,0.014423,0.014423,0.000000
43,C3_broad_1to1,0.014433,0.014433,0.000000
44,C3_broad_1to1,0.016110,0.016110,0.000000
45,C3_broad_1to1,0.014737,0.014737,0.000000
46,C3_broad_1to1,0.014130,0.014130,0.000000
47,C3_broad_1to1,0.014103,0.014103,0.000000
48,C3_broad_1to1,0.013978,0.013978,0.000000
49,C3_broad_1to1,0.013694,0.013694,0.000000
50,C3_broad_1to1,0.013372,0.013372,0.000000
51,C3_broad_1to1,0.013135,0.013135,0.000000
52,C3_broad_1to1,0.013379,0.013379,0.000000
53,C3_broad_1to1,0.012896,0.012896,0.000000
54,C3_broad_1to1,0.013509,0.013509,0.000000
55,C3_broad_1to1,0.012922,0.012922,0.000000
56,C3_broad_1to1,0.013331,0.013331,0.000000
57,C3_broad_1to1,0.013216,0.013216,0.000000
58,C3_broad_1to1,0.012411,0.012411,0.000000
59,C3_broad_1to1,0.012694,0.012694,0.000000
60,C3_broad_1to1,0.013153,0.013153,0.000000
61,C3_anneal,0.013013,0.013013,0.000000
62,C3_anneal,0.013388,0.013388,0.000000
63,C3_anneal,0.012364,0.012364,0.000000
64,C3_anneal,0.012345,0.012345,0.000000
65,C3_anneal,0.012470,0.012470,0.000000
66,C3_anneal,0.012011,0.012011,0.000000
67,C3_anneal,0.011862,0.011862,0.000000
68,C3_anneal,0.011879,0.011879,0.000000
69,C3_anneal,0.011646,0.011646,0.000000
70,C3_anneal,0.011635,0.011635,0.000000
71,C3_anneal,0.011527,0.011527,0.000000
72,C3_anneal,0.011956,0.011956,0.000000
73,C3_anneal,0.011778,0.011778,0.000000
74,C3_anneal,0.012621,0.012621,0.000000
75,C3_anneal,0.012096,0.012096,0.000000
76,C3_anneal,0.011207,0.011207,0.000000
77,C3_anneal,0.011186,0.011186,0.000000
78,C3_anneal,0.012061,0.012061,0.000000
79,C3_anneal,0.011665,0.011665,0.000000
80,C3_anneal,0.011502,0.011502,0.000000
81,C3_anneal,0.011349,0.011349,0.000000
82,C3_anneal,0.011176,0.011176,0.000000
83,C3_anneal,0.010725,0.010725,0.000000
84,C3_anneal,0.010678,0.010678,0.000000
85,C3_anneal,0.010506,0.010506,0.000000
86,C3_anneal,0.010501,0.010501,0.000000
87,C3_anneal,0.010463,0.010463,0.000000
88,C3_anneal,0.010271,0.010271,0.000000
89,C3_anneal,0.010459,0.010459,0.000000
90,C3_anneal,0.010565,0.010565,0.000000
91,C3_anneal,0.010197,0.010197,0.000000
92,C3_anneal,0.010367,0.010367,0.000000
93,C3_anneal,0.010243,0.010243,0.000000
94,C3_anneal,0.010349,0.010349,0.000000
95,C3_anneal,0.010026,0.010026,0.000000
96,C3_anneal,0.010613,0.010613,0.000000
97,C3_anneal,0.010276,0.010276,0.000000
98,C3_anneal,0.010010,0.010010,0.000000
99,C3_anneal,0.009938,0.009938,0.000000
100,C3_anneal,0.009489,0.009489,0.000000
101,C3_anneal,0.009688,0.009688,0.000000
102,C3_anneal,0.009799,0.009799,0.000000
103,C3_anneal,0.009522,0.009522,0.000000
104,C3_anneal,0.009346,0.009346,0.000000
105,C3_anneal,0.009485,0.009485,0.000000
106,C3_anneal,0.009507,0.009507,0.000000
107,C3_anneal,0.009610,0.009610,0.000000
108,C3_anneal,0.009230,0.009230,0.000000
