epoch,S,Fw,E,MAE
30,0.8454,0.7818,0.9114,0.0594
35,0.8488,0.7843,0.9096,0.0598
40,0.8551,0.7983,0.9207,0.0564
45,0.8432,0.7859,0.9145,0.0606
50,0.8489,0.7962,0.9200,0.0569
55,0.8390,0.7855,0.9102,0.0600
60,0.8500,0.7936,0.9138,0.0571
65,0.8501,0.7963,0.9166,0.0574
70,0.8351,0.7825,0.9080,0.0613
75,0.8346,0.7821,0.9075,0.0635
80,0.8428,0.7944,0.9124,0.0593
85,0.8377,0.7858,0.9054,0.0612
90,0.8424,0.7944,0.9098,0.0582
95,0.8342,0.7833,0.9092,0.0626
100,0.8485,0.7930,0.9095,0.0589
105,0.8383,0.7885,0.9077,0.0615
110,0.8401,0.7908,0.9070,0.0609
115,0.8479,0.7981,0.9095,0.0580
120,0.8446,0.7942,0.9105,0.0595
125,0.8457,0.7978,0.9106,0.0588
130,0.8419,0.7939,0.9072,0.0598
135,0.8427,0.7949,0.9068,0.0595
140,0.8426,0.7945,0.9070,0.0597
145,0.8423,0.7948,0.9079,0.0593
150,0.8408,0.7931,0.9062,0.0600
