epoch,S,Fw,E,MAE
30,0.8655,0.7605,0.9381,0.0256
35,0.8678,0.7596,0.9404,0.0254
40,0.8698,0.7717,0.9406,0.0246
45,0.8655,0.7710,0.9367,0.0250
50,0.8692,0.7728,0.9406,0.0243
55,0.8680,0.7748,0.9397,0.0240
60,0.8664,0.7699,0.9348,0.0249
65,0.8712,0.7781,0.9399,0.0238
70,0.8638,0.7754,0.9362,0.0246
75,0.8685,0.7793,0.9398,0.0240
80,0.8704,0.7836,0.9408,0.0232
85,0.8680,0.7793,0.9384,0.0236
90,0.8691,0.7846,0.9394,0.0232
95,0.8661,0.7807,0.9394,0.0243
100,0.8614,0.7528,0.9293,0.0271
105,0.8652,0.7817,0.9390,0.0236
110,0.8671,0.7841,0.9384,0.0238
115,0.8703,0.7842,0.9397,0.0234
120,0.8670,0.7822,0.9397,0.0236
125,0.8686,0.7850,0.9399,0.0233
130,0.8684,0.7865,0.9405,0.0232
135,0.8687,0.7862,0.9397,0.0232
140,0.8693,0.7873,0.9402,0.0231
145,0.8690,0.7874,0.9404,0.0231
150,0.8679,0.7868,0.9393,0.0233
