epoch,stage,total,bce,deep
1,C3_broad_1to1,0.305579,0.151041,0.154538
2,C3_broad_1to1,0.135531,0.064606,0.070925
3,C3_broad_1to1,0.106930,0.050624,0.056306
4,C3_broad_1to1,0.093750,0.044076,0.049674
5,C3_broad_1to1,0.082999,0.038503,0.044496
6,C3_broad_1to1,0.078223,0.035927,0.042295
7,C3_broad_1to1,0.072295,0.033039,0.039256
8,C3_broad_1to1,0.069120,0.031200,0.037920
9,C3_broad_1to1,0.064637,0.029056,0.035581
10,C3_broad_1to1,0.060211,0.026521,0.033690
11,C3_broad_1to1,0.064970,0.029446,0.035524
12,C3_broad_1to1,0.059127,0.026171,0.032955
13,C3_broad_1to1,0.055848,0.024450,0.031399
14,C3_broad_1to1,0.056983,0.025319,0.031664
15,C3_broad_1to1,0.054484,0.023808,0.030675
16,C3_broad_1to1,0.053001,0.023144,0.029856
17,C3_broad_1to1,0.050014,0.021511,0.028504
18,C3_broad_1to1,0.049495,0.021493,0.028002
19,C3_broad_1to1,0.047096,0.020073,0.027023
20,C3_broad_1to1,0.047125,0.019944,0.027181
21,C3_broad_1to1,0.046966,0.020077,0.026889
22,C3_broad_1to1,0.045367,0.019177,0.026190
23,C3_broad_1to1,0.043949,0.018460,0.025489
24,C3_broad_1to1,0.045513,0.019231,0.026282
25,C3_broad_1to1,0.043843,0.018399,0.025444
26,C3_broad_1to1,0.043585,0.018189,0.025396
27,C3_broad_1to1,0.041171,0.016971,0.024201
28,C3_broad_1to1,0.040538,0.016644,0.023893
29,C3_broad_1to1,0.044905,0.019099,0.025806
30,C3_broad_1to1,0.039812,0.016326,0.023486
31,C3_broad_1to1,0.041890,0.017416,0.024474
32,C3_broad_1to1,0.039526,0.016238,0.023288
33,C3_broad_1to1,0.038410,0.015564,0.022845
34,C3_broad_1to1,0.037470,0.015139,0.022331
35,C3_broad_1to1,0.038410,0.015583,0.022827
36,C3_broad_1to1,0.038137,0.015547,0.022590
37,C3_broad_1to1,0.039813,0.016332,0.023481
38,C3_broad_1to1,0.036838,0.014887,0.021951
39,C3_broad_1to1,0.036027,0.014418,0.021610
40,C3_broad_1to1,0.035731,0.014175,0.021556
41,C3_broad_1to1,0.035219,0.014022,0.021198
42,C3_broad_1to1,0.035857,0.014352,0.021505
43,C3_broad_1to1,0.036443,0.014678,0.021765
44,C3_broad_1to1,0.036781,0.014727,0.022054
45,C3_broad_1to1,0.034968,0.013877,0.021091
46,C3_broad_1to1,0.034607,0.013607,0.021000
47,C3_broad_1to1,0.033348,0.013058,0.020290
48,C3_broad_1to1,0.034291,0.013544,0.020747
49,C3_broad_1to1,0.034515,0.013600,0.020915
50,C3_broad_1to1,0.032797,0.012777,0.020019
51,C3_broad_1to1,0.031932,0.012363,0.019569
52,C3_broad_1to1,0.032717,0.012717,0.020000
53,C3_broad_1to1,0.032575,0.012650,0.019925
54,C3_broad_1to1,0.033091,0.012910,0.020180
55,C3_broad_1to1,0.032233,0.012527,0.019706
56,C3_broad_1to1,0.033308,0.013113,0.020195
57,C3_broad_1to1,0.031872,0.012339,0.019533
58,C3_broad_1to1,0.030888,0.011958,0.018930
59,C3_broad_1to1,0.033027,0.012978,0.020049
60,C3_broad_1to1,0.031368,0.012047,0.019320
61,C3_anneal,0.030946,0.011861,0.019084
62,C3_anneal,0.030753,0.011770,0.018984
63,C3_anneal,0.030436,0.011540,0.018896
64,C3_anneal,0.031645,0.012157,0.019488
65,C3_anneal,0.030251,0.011461,0.018791
66,C3_anneal,0.030203,0.011481,0.018722
67,C3_anneal,0.031544,0.012217,0.019327
68,C3_anneal,0.029886,0.011361,0.018525
69,C3_anneal,0.029245,0.011069,0.018176
70,C3_anneal,0.029609,0.011212,0.018397
71,C3_anneal,0.030655,0.011916,0.018739
72,C3_anneal,0.031627,0.012310,0.019317
73,C3_anneal,0.030528,0.011690,0.018838
74,C3_anneal,0.029198,0.010972,0.018226
75,C3_anneal,0.028283,0.010547,0.017736
76,C3_anneal,0.028210,0.010486,0.017724
77,C3_anneal,0.027844,0.010382,0.017463
78,C3_anneal,0.028599,0.010715,0.017884
79,C3_anneal,0.028433,0.010651,0.017782
80,C3_anneal,0.027999,0.010389,0.017610
81,C3_anneal,0.028072,0.010468,0.017603
82,C3_anneal,0.028211,0.010542,0.017670
83,C3_anneal,0.027956,0.010443,0.017513
84,C3_anneal,0.027418,0.010238,0.017179
85,C3_anneal,0.027288,0.010135,0.017153
86,C3_anneal,0.029109,0.011084,0.018026
87,C3_anneal,0.026985,0.009988,0.016997
88,C3_anneal,0.027405,0.010237,0.017168
89,C3_anneal,0.026851,0.009947,0.016904
90,C3_anneal,0.027137,0.010047,0.017091
91,C3_anneal,0.027781,0.010410,0.017371
92,C3_anneal,0.026564,0.009817,0.016746
93,C3_anneal,0.026117,0.009588,0.016530
94,C3_anneal,0.025966,0.009467,0.016500
95,C3_anneal,0.025861,0.009528,0.016333
96,C3_anneal,0.025970,0.009500,0.016470
97,C3_anneal,0.025592,0.009415,0.016177
98,C3_anneal,0.026763,0.010057,0.016706
99,C3_anneal,0.025812,0.009464,0.016348
100,C3_anneal,0.025546,0.009430,0.016116
101,C3_anneal,0.027200,0.010159,0.017041
102,C3_anneal,0.025052,0.009144,0.015908
103,C3_anneal,0.024795,0.008974,0.015821
104,C3_anneal,0.024443,0.008814,0.015629
105,C3_anneal,0.024303,0.008785,0.015518
106,C3_anneal,0.024585,0.008965,0.015619
107,C3_anneal,0.024770,0.009036,0.015734
108,C3_anneal,0.024254,0.008832,0.015421
109,C3_anneal,0.023846,0.008600,0.015246
110,C3_anneal,0.023870,0.008620,0.015250
111,C3_anneal,0.025737,0.009608,0.016129
112,C3_anneal,0.024233,0.008818,0.015415
113,C3_anneal,0.023682,0.008533,0.015149
114,C3_anneal,0.023493,0.008422,0.015072
115,C3_anneal,0.023445,0.008436,0.015009
116,C3_anneal,0.023223,0.008341,0.014881
117,C3_anneal,0.023084,0.008310,0.014774
118,C3_anneal,0.023665,0.008553,0.015112
119,C3_anneal,0.026196,0.009830,0.016366
120,C3_anneal,0.024634,0.009077,0.015556
121,C3_anneal,0.023531,0.008502,0.015030
122,C3_anneal,0.023398,0.008348,0.015051
123,C3_anneal,0.022963,0.008186,0.014777
124,C3_anneal,0.023076,0.008195,0.014881
125,C3_anneal,0.022576,0.008021,0.014555
126,C3_anneal,0.022664,0.008040,0.014624
127,C3_anneal,0.022564,0.007972,0.014592
128,C3_anneal,0.022391,0.007873,0.014518
129,C3_anneal,0.022039,0.007744,0.014294
130,C3_anneal,0.022383,0.007880,0.014503
131,C3_anneal,0.022066,0.007740,0.014326
132,C3_anneal,0.021770,0.007649,0.014121
133,C3_anneal,0.021850,0.007654,0.014196
134,C3_anneal,0.021663,0.007606,0.014057
135,C3_anneal,0.021427,0.007510,0.013917
136,C3_anneal,0.021660,0.007575,0.014085
137,C3_anneal,0.021607,0.007591,0.014016
138,C3_anneal,0.021683,0.007542,0.014142
139,C3_anneal,0.021264,0.007419,0.013845
140,C3_anneal,0.021655,0.007540,0.014115
141,C3_reliable_0p3,0.021611,0.007555,0.014056
142,C3_reliable_0p3,0.021690,0.007575,0.014115
143,C3_reliable_0p3,0.021505,0.007452,0.014052
144,C3_reliable_0p3,0.021836,0.007600,0.014235
145,C3_reliable_0p3,0.021544,0.007515,0.014030
146,C3_reliable_0p3,0.021399,0.007389,0.014010
147,C3_reliable_0p3,0.021584,0.007476,0.014108
148,C3_reliable_0p3,0.021192,0.007293,0.013899
149,C3_reliable_0p3,0.020800,0.007219,0.013581
150,C3_reliable_0p3,0.021456,0.007462,0.013994
