epoch,S,Fw,E,MAE
30,0.8492,0.7876,0.9154,0.0590
35,0.8582,0.8044,0.9217,0.0546
40,0.8443,0.7855,0.9169,0.0595
45,0.8431,0.7881,0.9158,0.0593
50,0.8486,0.7965,0.9183,0.0572
55,0.8559,0.8100,0.9244,0.0540
60,0.8490,0.8028,0.9250,0.0567
65,0.8501,0.8056,0.9218,0.0560
70,0.8482,0.8039,0.9173,0.0559
75,0.8516,0.8090,0.9213,0.0539
80,0.8445,0.7996,0.9193,0.0565
85,0.8483,0.8051,0.9213,0.0546
90,0.8537,0.8154,0.9255,0.0531
95,0.8506,0.8083,0.9216,0.0545
100,0.8409,0.7971,0.9134,0.0574
105,0.8415,0.7965,0.9106,0.0578
110,0.8379,0.7939,0.9130,0.0587
115,0.8487,0.8092,0.9211,0.0542
120,0.8518,0.8118,0.9211,0.0540
125,0.8549,0.8181,0.9237,0.0519
130,0.8534,0.8166,0.9219,0.0521
