epoch,S,Fw,E,MAE
30,0.8752,0.7806,0.9431,0.0238
35,0.8757,0.7854,0.9422,0.0234
40,0.8769,0.7898,0.9421,0.0233
45,0.8758,0.7952,0.9440,0.0228
50,0.8731,0.7973,0.9428,0.0227
55,0.8764,0.8006,0.9465,0.0220
60,0.8782,0.8031,0.9457,0.0219
65,0.8771,0.8041,0.9450,0.0218
70,0.8767,0.8058,0.9457,0.0217
75,0.8762,0.8061,0.9446,0.0218
80,0.8775,0.8048,0.9444,0.0216
85,0.8765,0.8080,0.9454,0.0215
90,0.8765,0.8075,0.9444,0.0215
95,0.8756,0.8086,0.9443,0.0217
100,0.8730,0.8051,0.9428,0.0220
105,0.8755,0.8078,0.9430,0.0218
110,0.8752,0.8079,0.9434,0.0221
115,0.8745,0.8097,0.9445,0.0217
120,0.8764,0.8048,0.9414,0.0219
125,0.8769,0.8107,0.9426,0.0215
130,0.8768,0.8111,0.9425,0.0216
