epoch,stage,total,bce
1,C3_broad_1to1,0.297171,0.297171
2,C3_broad_1to1,0.164492,0.164492
3,C3_broad_1to1,0.104986,0.104986
4,C3_broad_1to1,0.075195,0.075195
5,C3_broad_1to1,0.059875,0.059875
6,C3_broad_1to1,0.048288,0.048288
7,C3_broad_1to1,0.040499,0.040499
8,C3_broad_1to1,0.036923,0.036923
9,C3_broad_1to1,0.036148,0.036148
10,C3_broad_1to1,0.030716,0.030716
11,C3_broad_1to1,0.029601,0.029601
12,C3_broad_1to1,0.026321,0.026321
13,C3_broad_1to1,0.024905,0.024905
14,C3_broad_1to1,0.024645,0.024645
15,C3_broad_1to1,0.024689,0.024689
16,C3_broad_1to1,0.022568,0.022568
17,C3_broad_1to1,0.022709,0.022709
18,C3_broad_1to1,0.021720,0.021720
19,C3_broad_1to1,0.021645,0.021645
20,C3_broad_1to1,0.020982,0.020982
21,C3_broad_1to1,0.020383,0.020383
22,C3_broad_1to1,0.020165,0.020165
23,C3_broad_1to1,0.019509,0.019509
24,C3_broad_1to1,0.018409,0.018409
25,C3_broad_1to1,0.017951,0.017951
26,C3_broad_1to1,0.018714,0.018714
27,C3_broad_1to1,0.018155,0.018155
28,C3_broad_1to1,0.017763,0.017763
29,C3_broad_1to1,0.017564,0.017564
30,C3_broad_1to1,0.018150,0.018150
31,C3_broad_1to1,0.016787,0.016787
32,C3_broad_1to1,0.016704,0.016704
33,C3_broad_1to1,0.016336,0.016336
34,C3_broad_1to1,0.016746,0.016746
35,C3_broad_1to1,0.016901,0.016901
36,C3_broad_1to1,0.016309,0.016309
37,C3_broad_1to1,0.017076,0.017076
38,C3_broad_1to1,0.017063,0.017063
39,C3_broad_1to1,0.016230,0.016230
40,C3_broad_1to1,0.016387,0.016387
41,C3_broad_1to1,0.016062,0.016062
42,C3_broad_1to1,0.016450,0.016450
43,C3_broad_1to1,0.014790,0.014790
44,C3_broad_1to1,0.015485,0.015485
45,C3_broad_1to1,0.016777,0.016777
46,C3_broad_1to1,0.015304,0.015304
47,C3_broad_1to1,0.015789,0.015789
48,C3_broad_1to1,0.015645,0.015645
49,C3_broad_1to1,0.015191,0.015191
50,C3_broad_1to1,0.015152,0.015152
51,C3_broad_1to1,0.015665,0.015665
52,C3_broad_1to1,0.015653,0.015653
53,C3_broad_1to1,0.015533,0.015533
54,C3_broad_1to1,0.014961,0.014961
55,C3_broad_1to1,0.015281,0.015281
56,C3_broad_1to1,0.014829,0.014829
57,C3_broad_1to1,0.014881,0.014881
58,C3_broad_1to1,0.014609,0.014609
59,C3_broad_1to1,0.014767,0.014767
60,C3_broad_1to1,0.017063,0.017063
61,C3_anneal,0.014935,0.014935
62,C3_anneal,0.014463,0.014463
63,C3_anneal,0.014656,0.014656
64,C3_anneal,0.016133,0.016133
65,C3_anneal,0.015064,0.015064
66,C3_anneal,0.014674,0.014674
67,C3_anneal,0.015467,0.015467
68,C3_anneal,0.014817,0.014817
69,C3_anneal,0.015208,0.015208
70,C3_anneal,0.015036,0.015036
71,C3_anneal,0.014420,0.014420
72,C3_anneal,0.014904,0.014904
73,C3_anneal,0.014729,0.014729
74,C3_anneal,0.014655,0.014655
75,C3_anneal,0.014811,0.014811
76,C3_anneal,0.014484,0.014484
77,C3_anneal,0.014819,0.014819
78,C3_anneal,0.016375,0.016375
79,C3_anneal,0.015034,0.015034
80,C3_anneal,0.016441,0.016441
81,C3_anneal,0.014316,0.014316
82,C3_anneal,0.014701,0.014701
83,C3_anneal,0.014503,0.014503
84,C3_anneal,0.014134,0.014134
85,C3_anneal,0.014457,0.014457
86,C3_anneal,0.014491,0.014491
87,C3_anneal,0.014125,0.014125
88,C3_anneal,0.013841,0.013841
89,C3_anneal,0.014532,0.014532
90,C3_anneal,0.014036,0.014036
91,C3_anneal,0.014305,0.014305
92,C3_anneal,0.015446,0.015446
93,C3_anneal,0.014186,0.014186
94,C3_anneal,0.014611,0.014611
95,C3_anneal,0.013938,0.013938
96,C3_anneal,0.014557,0.014557
97,C3_anneal,0.014135,0.014135
98,C3_anneal,0.014116,0.014116
99,C3_anneal,0.014042,0.014042
100,C3_anneal,0.014730,0.014730
101,C3_anneal,0.013696,0.013696
102,C3_anneal,0.013548,0.013548
103,C3_anneal,0.013750,0.013750
104,C3_anneal,0.013750,0.013750
105,C3_anneal,0.013867,0.013867
106,C3_anneal,0.013747,0.013747
107,C3_anneal,0.013910,0.013910
108,C3_anneal,0.013409,0.013409
109,C3_anneal,0.014018,0.014018
110,C3_anneal,0.013827,0.013827
111,C3_anneal,0.013623,0.013623
112,C3_anneal,0.013548,0.013548
113,C3_anneal,0.013747,0.013747
114,C3_anneal,0.013128,0.013128
115,C3_anneal,0.012979,0.012979
116,C3_anneal,0.012850,0.012850
117,C3_anneal,0.013013,0.013013
118,C3_anneal,0.013195,0.013195
119,C3_anneal,0.013467,0.013467
120,C3_anneal,0.013554,0.013554
121,C3_anneal,0.012920,0.012920
122,C3_anneal,0.012585,0.012585
123,C3_anneal,0.012702,0.012702
124,C3_anneal,0.012428,0.012428
125,C3_anneal,0.012343,0.012343
126,C3_anneal,0.012037,0.012037
127,C3_anneal,0.012087,0.012087
128,C3_anneal,0.012576,0.012576
129,C3_anneal,0.012255,0.012255
130,C3_anneal,0.011935,0.011935
131,C3_anneal,0.011956,0.011956
132,C3_anneal,0.012124,0.012124
133,C3_anneal,0.011997,0.011997
134,C3_anneal,0.011720,0.011720
